prompt,answer
"Triple endoscopy is used most often in the setting of _____________ , and may be further challenged by the presence of a compromised __________ .",Malignancy; Airway
"Foreign body ingestion prior to the glottis requires ____________ , whereas ingestion near or within the trachea requires ___________ .",Esophagoscopy; Laryngoscopy or Bronchoscopy
What is the most common anesthetic technique for foreign body aspiration? _________________ is contraindicated in airway obstruction.,"GETA + Modified RSI (No Cricoid Pressure); 
Awake Fiberoptic"
"Foreign body retrieval requires ______________ scope management, whereas ____________ scopes may be used in biopsies.",Rigid; Flexible
Which 4 nerves supply sensory innervation to the ear?,"1. Greater Auricular Nerve
2. Lesser Occipital Nerve
3. Auricular Branch of the Vagus Nerve
4. Auriculotemporal Nerve"
"The ___________ membrane lies between the outer and middle ear, and transmits sound waves to the __________ .",Tempanic; Ossicles
"When performing a preoperative assessment, it is important to know that chronic otitis is often associated with _____________ which may present as a difficult airway",TMJ Ankylosis
"When comparing reversal agents, suggammadex has a ________ risk of PONV when compared to neostigmine.",Lower
The inhalation agent _________ should be avoided in tympanoplasty to avoid graft displacement.,Nitrous Oxide
"During ear surgery, it is crucial to maintain a ___________ surgical field. A ____________ ____________ strategy to controlling blood pressure may assist in this.",Bloodless; Permissive Hypotensive
Which drugs are contraindicated in middle ear surgery due to the importance of facial nerve monitoring?,NMBDs
Middle ear surgery puts a patient at risk for what common post-op complication?,PONV
"If left untreated for more than __________ days, manual realignment of nasal fracture is not a viable option for nasal reconstruction.",14
"Reconstruction of the external nose caused by trauma, neoplastic excision, deformity or malformation is known as _______________ .",Rhinoplasty
"When providing anesthesia during a rhinoplasty, the __________ ETT should be secured ___________ .",Oral RAE; Midline
Cocaine and epinephrine should be avoided as a local anesthetic in patients with a history of ______,CAD
"When a patient with OSA is awake, their dilating muscles of the airway have _________ than normal activity.",Greater
OSA leads to partial reductions and complete pauses in breathing lasting at least __________ .,10 seconds
What is the apnea-hypopnea index (AHI)?,Represents the combined number of apnea and hypopneas that occur per hour of sleep
Why do OSA patients have daytime somnolence?,"The brain responds to lack of oxygen by alerting the body and arousing the individual from sleep, leading to fragmented quality of sleep"
Which 2 conditions predispose a patient to OSA by narrowing the upper airway with tissue infiltration?,Hypothyroidism and Acromegaly
OSA patients have __________(increased/decreased) chest wall compliance?,Decreased
"_____________ diverticulum is the most common type of esophageal diverticula and presents as sac-like out-pouching of the mucosa through ___________ dehiscence, a potential gap between the thyropharyngeus and cricopharyngeus muscles.",Zenker's; Killian's
"Zenker's diverticulum often presents with ___________ and regurgitation, and most effects the ___________ population.",Dysphagia; Elderly
How does the aspiration content of a Zenker's patient differ from that of a normal person?,"The aspirated content is alkaline, meaning that H2 blockers or antacids would not be beneficial"
"Due to their high aspiration risk, a Zenker's patient should be intubated utilizing ________ with the HOB at least ____________ degrees elevated.",RSI; 10-30
Which 3 anesthetic interventions should be avoided in patients with Zenker's Diverticulum above the cricoid ring?,"1. Oral antacids (may lodge in pouches)
2. Cricoid pressure (may obstruct airway)
3. NGT (may rupture pouches)"
___________ of the __________ muscle is the surgical treatment of Zenker's diverticulum.,Myotomy; Cricopharyngeal
The __________ is the primary respiratory muscle of the body. It accounts for _________ % of the change in chest volume during normal respiration.,Diaphragm; 75
The Diaphragm and the ___________ Intercostal muscles are responsible mainly for ____________ .,External; Inspiration
Which 3 muscles assist in forced inspiration?,"Sternocleidomastoid
Scalene
Pectoralis"
________ muscles prevent inward displacement of the upper ribs during inspiration.,Scalene
Exhalation may be facilitated by _________ and ___________ intercostal muscles.,Abdominal; Internal
"The average trachea spans _________ cm, beginning at the level of the ______________ (C______) and extending to the level of the ___________",10-13; Cricoid Cartilage (C6); Carina
Narrowest part of the airway in adults is at the level of the _____________ . This narrowing is often ________ mm in men and ________ mm in women.,Cricoid Cartilage; 17; 13
"The distance from the carina to the right bronchus is __________ when compared to the left bronchus. The angle at which the bronchus bifurcates is more linear on the _________ side, making mainstem intubation more likely.",Shorter; Right
"With each division of the bronchi, mucosa transitions from one type of cell to another. Name the transitional cell types (3) from most superior to most inferior.","1. Ciliated columnar
2. Cuboidal
3. Flat alveolar epithelium"
Gas exchange occurs at what type of mucosa in the bronchioles?,Flat Epithelium
Size of alveoli is a function of _________ and ________ volume.,Gravity; Lung
"The alveoli are largest at the pulmonary _________, and the smallest at the __________ .",Apex; Base
"Pleural pressure ___________ per 3 cm decrease in lung height, causing the transmural pressure to ___________ .",Decreases (which means that numerically it increases); Increase
Alveoli in the pulmonary __________ have higher transpulmonary pressure due to their constant state of near maximal inflation.,Apex
Alveoli at the pulmonary base have ___________ compliance and a _________ degree of expansion upon inspiration when compared to the apex.,Higher; Greater
Of the approximately 5 L/min of blood flowing through the lungs - only about _______ mL are within the pulmonary capillaries undergoing gas exchange,70-100
True or False: Each alveolar capillary perfuses a single designated alveolus,False - each capillary perfuses more than one alveolus
"Minute ventilation is sum of all exhaled gas volumes in 1 minutes, which differs from ___________ ventilation which accounts for only the gases that are taking part in gas exchange.",Alveolar
"The formula for minute ventilation is _________ x __________ . In a normal adult, minute ventilation is ___________ .",Respiratory Rate; Tidal Volume; 5L/min
"In the upright position, the normal dead space for an adult is about ________ mL/kg or _________ mL.",2; 150; Anatomic
"Physiologic dead space is a combination of __________ and _________ dead space, with a majority of it being anatomical.",Anatomical; Alveolar
the amount of blood flowing through a given capillary network is affected by _______ and _________ size.,Gravity; Alveolar
Large alveoli have __________ resistance to bloodflow due to a ____________ capillary cross-sectional area.,Increased; Smaller
"In the upright position, ____________ capillaries have higher blood flow.",Basal
Which type of pulmonary epithelial cells are flat with tight junctions and help filter out large molecules from entering the alveolus?,Type 1
Type _______ pulmonary epithelial cells are more abundant and contain lamellar bodies that produce _________ .,2; Surfactant
"Bronchial circulation arises from the________ , whereas pulmonary circulation arises from the __________ .",Left Heart; Right Heart
Bronchial circulation sustains the metabolic needs of the __________ .,tracheobronchial tree
"The diaphragm is innervated via the ______ nerve, which arises from _____________ nerve roots.",Phrenic; C3-C5
Unilateral phrenic nerve block or palsy reduces pulmonary function by __________ .,25%
Injuries above __________ are incompatible with spontaneous ventilation due to the disruption of innervation from both the ______________ and ___________ nerves.,C5; Phrenic; Intercostal
Tracheobronchial tree sensory innervation arises from the __________ nerve.,Vagus
"Vagal activity mediates broncho-___________ in the lungs, and produces secretions via __________ receptors.",Bronchoconstriction; Muscarinic
Sympathetic activity from ______________ spinal nerves mediates bronchodilation and decreases secretions via ___________ receptors,T1-T4; β2
The _______ nervous system normally has little effect on pulmonary vascular tone,Sympathetic
"Alpha 1 causes ______________ of pulmonary vascular tone, whereas ______________ causes vasodilation.",Vasoconstriction; Beta-2
Parasympathetic vasodilatory activity in the pulmonary vasculature seems to be mediated via release of _________,Nitric Oxide
"Pulmonary system is under ___________ pressures when compared to the systemic circulation. When treating pulmonary hypertension, we want the PVR:SVR ratio to be < ___________ .",Lower; 0.5
"Increased PAP causes ________ and ________ of capillaries, which leads to an increased cross-sectional area. This causes a __________ in PVR.",Distension; Recruitment; Decrease
An increased CO produces a ____________ in PVR. This allows the pulmonary pressure to remain fairly _____________ over a wide range of CO values.,Decrease; Constant
"Large lung volumes in contact with intra-alveolar vessels causes _________ , and decreased resistance in _____________ vessels.",Compression; Extra-alveolar
Prostaglandins and phosphodiesterase inhibitors __________ pulmonary vasculature and are often used in treating ____________ .,Vasodilate; Pulmonary Hypertension
"Inhaled anesthetics, in contrast to IV anesthetics, _____________ the lung's compensatory mechanism that prevents the perfusion of under-ventilated lungs known as ____________ .",Impair; Hypoxic Pulmonary Vasoconstriction
"Alveolar, Arterial, Venous Pressure: Zone 1",Alveolar Pressure > PAP > PVP
"Alveolar, Arterial, Venous Pressure: Zone 2",PAP > Alveolar Pressure > PVP
"Alveolar, Arterial, Venous Pressure: Zone 3",PAP > PVP > Alveolar Pressure
"Blood in lung zone 1 exhibits __________ perfusion despite ventilation, producing a state of __________ .",No; Dead Space
"In lung zone 2, blood flow is proportional to the difference between __________ and __________ , producing sporadic perfusion.",PAP; Alveolar Pressure
The blood flow in lung zone _________ exhibits that of systemic circulation providing constant perfusion.,3
Low partial pressure of oxygen in arterial blood (Pao2) or a Pao2 < 60 mm Hg is defined as __________,Arterial Hypoxemia
"Normal PvO2 is _____mm Hg, resulting in a saturation of ______%.",40; 75%
A Right shift in the oxyhemoglobin dissociation curve indicates P50 > ______?,26.8mmHg
State the arterial oxygen content equation.,CaO2 = SaO2 (Hgb x 1.39) + 0.003 (PaO2)
What is the oxygen carrying capacity of one gram of hemoglobin?,1.39 mL O2
State the PaO2 equation.,"PAO2 = FIO2 × (PB−PH2O) − PCO2/RQ where PB = 760 mmHg, PH2O = 47 and RQ = 0.8"
Normal Oxygen Consumption,250-300ml/min
What is the formula for Static Compliance?,Vt / (Plateau Pressure - PEEP)
__________ decreases surface tension and stabilizes small alveoli.,Surfactant
"When a disease process, such as emphysema, makes pleural pressure less negative, resistance in the small airways is ___________ due to diminished transpulmonary pressure.",Increased
Peripheral chemoreceptors are found in the __________ and __________ and mostly monitor __________ levels.,Aorta; Carotid Bodies; Oxygen
Central chemoreceptors are found in the __________ and monitor __________ and __________ levels.,Ventrolateral Medullary Surface; CO2; pH
Peripheral vs. Central Chemoreceptors: which is impacted immediately by metabolic changes,"Peripheral
Central chemoreceptors are protected by the BBB so physiologic changes may be delayed"
Peripheral vs. Central Chemoreceptors: which is primarily responsible for the hypercapnic ventilatory response,Central
"___________ threshold is the arterial CO2 tension at which a patient stops breathing. This is controlled by ___________ chemoreceptors, explaining the delayed recovery after hyperventilation.",Apneic; Central
"As CO2 rises beyond the apneic threshold, ventilation returns and stabilizes at a PaCO2 set point that is about _______ mm Hg higher.",5
"During spontaneous breathing the pressure within the alveoli is always_________ than the surrounding pressure, unless the alveoli are collapsed.",Greater
Alveolar pressure is ______________ to atmospheric pressure at end-inspiration and end-expiration. This creates a state of ___________ flow.,Equal; No
Ptranspulmonary = ____________ - _____________,Palveolar − Pintrapleural
"At end-expiration, Intrapleural pressure (Pip) normally averages about ________H2O. Pip __________ with inspiration, causing an ___________ in Ptp.",-5 cm; Decreases; Increase
"During mechanical inspiration, gas flows into alveoli until pressure in the alveoli equals pressure in the __________ .",Upper Airway
Laplace's Law equation,Pressure = 2 X Surface Tension/ Radius
"According to Laplace's Law, the smaller the alveoli radius, the_________ the pressure required to prevent collapse.",Greater
The change in volume divided by the change in distending pressure is known as _____________ .,Compliance
Lungs with low compliance require ______________ pressure to inflate the alveoli.,More
The transpulmonary pressure gradient (Ptp) is the pressure difference between the _______ and the fluid in the _______ . Ptp is responsible for keeping the lungs __________ .,Alveoli; Pleural Space; Open
Normal Lung Compliance,150-200ml/cm H20
Normal Chest Wall Compliance,200ml/cm H20
Total Lung Compliance,100ml/cm H20
Normal Vital Capactiy,60 to 70 mL/kg
FEV1:FVC is a good measurement of the degree of ___________ ___________ .,Airway Obstruction
"___________ is the volume at which small airways begin to close in dependent areas of the lung, and is calculated by adding _________ and __________ .",Closing Capacity; Residual Volume + Closing Volume
"When CC ___________ FRC, atelectasis occurs during tidal breathing, creating state of hypoxia. This occurs in the ___________ population.",Exceeds; Elderly
Which three factors must be overcome during ventilation?,"1. Elastic recoil of the chest and lung
2. Frictional resistance to gas flow in the airways
3. Tissue frictional resistance"
"Resistive work of breathing applies to the ________ phase of respiration, whereas elastic work of breathing refers to the __________ phase.",Inspiratory; Expiratory
The two strongest predictors of post-operative pulmonary complications is _______________ and history of _____________ .,Operative Site; Dyspnea
Name procedure-related risk factors for post-op pulmonary complications.,"Operative Site!! (Near Diaphragm + Pain)
Aortic Aneurysm Repair
Thoracic Surgery
Abdominal Surgery / Upper
Neurosurgery
Head & Neck Surgery
Vascular Surgery
Surgery >3 Hours
Emergency Surgery
Use of General Anesthesia (vs. Regional)"
Name patient-related risk factors for post-op pulmonary complications.,"Advanced Age (Increased Closing Capacity)
ASA > 2
CHF
OSA (Not specifically Obesity)
Functional Dependency
COPD
Smoking (MMEF Abnormalities)
Dyspnea!!"
"In order to diagnose ___________ , a patient must present with normal tests of expiratory flow that do NOT change markedly over periods of several months of observation.",COPD
Name examples of obstructive respiratory disease,"Chronic Bronchitis, Emphysema, Asthma, CF, Bronchiectasis, bronchiolitis"
"Resistance to airflow, resulting in ______________ is characteristic of __________ . This results in a __________ in Residual Volume and subsequent FRC.",Air-Trapping; COPD; Increase
"____________ respiratory disease is an issue during expiration, whereas __________ is an issue during inspiration due to small lung volumes.",Obstructive; Restrictive
"Decreased ______________ is often the only abnormality in early COPD, followed by the development of _________ wheezing.",FEF (Forced Expiratory Flow); Expiratory
Which gender is most likely to have asthma?,Females
Airway hyper-responsiveness is a characterization of what airway disease?,Asthma
Name the 3 clinical features of asthma.,"1. Bronchoconstriction
2. Airway Hyper-Responsiveness
3. Airway Edema"
Name the hallmark symptoms of asthma,"Recurrent Wheezing / Dyspnea / Fatigue
Cough: productive or non-productive at night or early morning
Use of Accessory Muscles
Tachypnea-Hypocapnia
Prolonged Expiratory Phase
Eosinophilia"
Asthma Classification: symptoms <2 days/week,Intermittent
Asthma classification: FEV1 <80% with normal FEV1: FVC,Mild
Asthma classification: Daily use of Inhaler,Moderate
Asthma classification: FEV1 <60% with FEV1: FVC Reduced >5%,Severe
Extrinsic asthma involves ____________ cells binding with ___________ which produces a massive __________ release and resulting inflammation.,Mast; IgE Antibodies; Histamine
What is the greatest risk factor for the development of extrinsic asthma?,Presence of Atopy
"When looking at an x-ray, you may see flattening of the diaphragm with alveolar hyperinflation in those with __________ lung disease.",Obstructivee
__________ is the volume of air that can be forcefully exhaled in one second. A normal value would be __________ of predicted values.,FEV1; 80-120%
FEV1: FVC Ratio normal,This ratio in healthy adults is 75%-80%.
"The volume of air that can be exhaled with maximum effort after a deep inhalation is known as ___________ . A normal value in women is _________ L, and ___________ L in men.",FVC; 3.7L (F); 4.8L (M)
The forced expiratory flow at 25%-75% of vital capacity is known as ____________ . This is a helpful measure of airway obstruction because it is effort __________ .,Max Mid-expiratory Flow Rate; Independent
"The maximum amount of air that can be inhaled and exhaled within 1 min is known as ___________ . A normal value in women is _________ L/min, and ___________ L/min in men.",Maximum Voluntary Ventilation; 80-120 L/min (F); 140-180 L/min (M)
The volume of carbon monoxide transferred across the alveoli into blood per minute per unit of alveolar partial pressure is known as ____________ . The normal value is ________ mL/min/mmHg.,Diffusing Capacity; 17-25 mL/min/mmHg
What is Peak Expiratory Flow Rate?,"Direct measure of the severity of expiratory airflow obstruction, as well as FEV1 and FEF 25-75%"
An increase of FEV1 of >_______% in response to bronchodilator is an abnormal finding and may indicate obstructive disease.,15
Is Peak Expiratory Flow Rate increased or decreased with asthma?,Decreased
Is IRV increased or decreased with asthma?,Decreased
Is FRC increased or decreased in asthma?,Increased
Is ERV increased or decreased in asthma?,Increased
Is airway resistance increased or decreased in asthma?,Increased
Additional air that can be breathed out after normal tidal volume expiration is known as __________ .,Expiratory Reserve Volume
__________ volume is the air left in the lung after maximal expiration.,Residual
VC = _______ + _______ + ________,VC = TV + ERV + IRV
Obstructive vs. Restrictive: IRV,"O: Decreased
R: Decreased"
Obstructive vs. Restrictive: ERV,"O: Increased
R: Decreased"
Obstructive vs. Restrictive: RV,"O: Increased
R: Decreased"
Obstructive vs. Restrictive: VT,"O: Decreased or no change
R: No change"
"Obstructive disease shifts the flow volume curve to the __________ , whereas Restrictive disease shifts it to the __________ .",Left; Right
What are some adverse effects of B2 agonists?,"Tachycardia
Tremors
Dysrhythmias
Hypokalemia"
How do inhaled corticosteroids help asthma?,They decrease airway inflammation and reduce airway hyper-responsiveness
What are some adverse effects of inhaled corticosteroids?,"Dysphonia
Myopathy of Laryngeal Muscle
Oral Candidiasis"
What are the adverse effects of long acting bronchodilators (beta agonists)?,Airway Inflammation when used alone (Increased Incidence of asthma exacerbation)
How do leukotriene modifiers treat asthma? (Singulair),Reduce synthesis of leukotrienes by inhibiting 5-lipooxyenase enzyme
"How do Methylxanthines treat asthma? (aminophylline, theophyilline)","Increase CAMP by inhibiting phosphodiesterase
and block adenosine receptors, release endogenous. Catecholamines"
"If patient is currently on or has been treated with high doses of systemic steroids within the last _________, give stress dose of _____________ or _____________ .",6 Months; Hydrocortisone (100mg q8h) or Methylprednisone (0.8mg/kg Bolus)
Do inhaled corticosteroids cause adrenal suppression?,no
What are some drugs to avoid in asthmatic patients?,"Drugs that release histamine, Beta-Blockers, and NSAIDs"
Regional anesthesia with a block no higher than the _________level is good for patients with asthma.,T6
What is the induction agent for a patient who is actively wheezing?,Ketamine
Which IA is the least irritating to the lungs?,Sevoflurane
"When ventilating an asthmatic patient, one must avoid ___________ and breath stacking by utilizing _________ RR and __________ I:E ratios.",Hyperinflation; Low (<10); High (1:4)
What is the treatment for intraoperative bronchospasm?,"1. Deepen anesthetic with volatile agent, ketamine, propofol or lidocaine
2. Manually ventilation with 100% FiO2
3. Administer B2-Agonists: up to 10 puffs may be needed
4. If severe: administer 10-50mcg epinephrine IVP or 0.25-1mcg/min infusion
5. 2-4 mg/kg Hydrocortisone
6. If Intractable, consider magnesium and oral leukotriene inhibitors"
What are the symptoms of COPD?,"Dyspnea on exertion or at rest
Chronic cough
Chronic sputum production
Tachypnea
Prolonged expiratory time
Decreased breath sounds
Expiratory wheezing"
FEV1:FVC <70% not reversible with bronchodilators confirms the diagnosis of __________ .,COPD
Emphysema vs. Chronic Bronchitis: which has permanent enlargement of the airspace distal to the terminal bronchioles,Emphysema
Emphysema vs. Chronic Bronchitis: which has productive cough for at least 3 months in each of the 2 successive years a person whom the Excessive Secretions are not due to other disease,Chronic Bronchitis
Emphysema vs. Chronic Bronchitis: which has Leads to loss of elastic recoil with subsequent premature airway closure,Emphysema
Emphysema vs. Chronic Bronchitis: which has Decreased airway lumen due to mucus and inflammation,Chronic Bronchitis
Emphysema vs. Chronic Bronchitis: which has more severe dyspnea,Emphysema
Emphysema vs. Chronic Bronchitis: which has hypercarbic hypoxemia on ABG,Chronic Bronchitis
Emphysema vs. Chronic Bronchitis: which has decreased diffusing capacity,Emphysema
Emphysema vs. Chronic Bronchitis: which has increased Hct,Chronic Bronchitis
Emphysema vs. Chronic Bronchitis: which has worse Cor Pulmonale,Chronic Bronchitis
Emphysema vs. Chronic Bronchitis: which has a worse prognosis,Chronic Bronchitis
"____________ are air containing spaces distal to the bronchioles, whereas _________ are collections of air within the pleura.",Bullae; Blebs
"For COPD patients, long-term supplemental oxygen is suggested when PaO2 < _________ , Hematocrit > ____________ %, and with the development of _______________ .",55; 55; Cor Pulmonale
COPD patient who has had an acute lung infection will have airway hyper-reactivity for how long?,3-6 weeks
What kind of blocks should be avoided for COPD patients?,Interscalene
Patients with COPD will have a ____________ recovery from inhalation anesthetics due to ___________ .,Prolonged; Air Trapping
"If patient with COPD become hemodynamically unstable during mechanical ventilation, the differential diagnosis must include _____________ and _____________ .",Tension Pneumothorax; Bronchopleural Fistula
Restrictive lung disease present with a ________ in lung compliance.,Decrease
What is the primary cause of hypoxemia in both obstructive and restrictive lung disease?,V/Q Mismatch
"Airway resistance is _____________ in restrictive disease, while lung volumes and diffusing capacity is ____________.",Unchanged; Decreased
The FEV1:FVC ratio is ___________ in restrictive disease and _________ in obstructive disease.,Unchanged; Decreased
What changes in the lungs does pulmonary interstitial disease cause?,"Inflammation and fibrosis of the interstitium, alveoli, or vascular beds"
Regional blockade above _______ can be associated with impairment of accessory muscles needed to maintain ventilation.,T10
Pulmonary HTN = PAP> _________ .,25 mm Hg
"In precapillary pHTN, the elevated pressure lies ________ to the pulmonary capillary bed within the pulmonary arteries.",Proximal
Why shouldn't you treat post-capillary pHTN with vasodilators?,The patient likely has reduced EF and is likely preload dependent
Pre vs. Post capillary pHTN: Which has increased PVR?,Pre-Capillary
Pre vs. Post capillary pHTN: Which has increased LAP and PCWP?,Post-Capillary
Pre vs. Post capillary pHTN: which has an increased transpulmonary gradient (PAP - PCWP),Pre-Capillary
Pre vs. Post capillary pHTN: which has worse outcomes,Pre-Capillary
__________ and _________ are the two most common symptoms of RV dysfunction.,Dyspnea; Fatigue
Prominent V waves on EKG may indicate severe __________ regurgitation.,Tricuspid
What is the preferred agent for vaso-reactivity testing during a right heart catheterization in evaluating pulmonary hypertension?,Inhaled Nitric Oxide
"If a patient with PAH needs surgery and has no time to be optimized, what class of drug should be given preoperatively?","PDE5 inhibitor
Sildenafil 20-40mg TID"
"For PAH patients undergoing NON-emergent surgery, surgery should be postponed in the following scenarios:","Dyspnea at rest
Syncope
Hemodynamic findings consistent with severe RHF (Low CO, RAP >15)
Metabolic acidosis
Marked hypoxemia"
The goal PAP for surgery on PAH patient is < ________ mmHg .,35
The goal PVR:SVR ratio for surgery on PAH patient is < _________ .,0.5
"In PAH patients, avoid PIP> ____ and PEEP >______ .",PIP>30; PEEP>15
Angioedema is unique from localized edema in the fact that it is ____________.,Non-pitting
"Angioedema is mediated by the release of ____________ during allergic reactions, and __________ in non-allergic reactions.",Histamine; Bradykinin
"If urticaria is seen with angioedema, it suggests that the reaction was induced by ___________ release.",Histamine
Bradykinin angioedema can be a side effect from what class of drugs?,ACE inhibitors
Which drug class inhibits bradykinin and factor XII in treating angioedema?,C1 Esterase Inhibitor
Histamine-mediated urticaria and swelling subsides in _____ hours.,24-36
C1 deficiency is seen in what type of angioedema?,"HAE-1, a type of non-histamine mediated"
C1 impairment is seen in what type of angioedema?,"HAE (hereditary)-2, a type of non-histamine mediated"
Hereditary angioedema common presenting symptoms and timing of occurrence?,"swelling in extremities, abdomen, throat, and other organs
appears by age 13, worsens after puberty"
"____________ angioedema is __________ mediated and has symptoms similar to HAE, however, it presents _________ in life.",Acquired; Bradykinin Later
Symptoms of ACE inhibitor induced angioedema,"Localized in face or upper aerodigestive tract, erythema WITHOUT itching"
"In addition to ACE-inhibitors, non-histamine angioedema can result from (3) classes of drugs. What are they and who is at greatest risk for this?","NSAIDs, ARBS, Antibiotics
Asthmatics, chronic urticaria"
___________ induced angioedema does not respond to typical treatment and may require the administration of _____________ .,Bradykinin; FFP
How can you prevent pre-procedural and intra-op HAE attacks?,"Avoid intubation and GA if possible
Pretreat with androgens C1-INH or if neither is available with FFP
Have 2 doses of rescue therapy available
use vaginal delivery when possible
Ensure that patient has therapy available and has been educated to treat or present for care if an attack occurs after discharge"
"Treatment for ____________ -mediated angioedema follows the same pathway as anaphylaxis , including the administration of (3): _______________ .","Histamine; Antihistamines, Corticosteroids, Epinephrine"
An elevated tryptase concentration is indicative of __________- mediated angioedema.,Histamine
What is the preferred intubation technique for emergent access of an angioedema patient?,Awake Nasal Fiberoptic
"Ultraviolet Wavelength: ____________ nm 
Visable Wavelength: ____________ nm 
Infrared Wavelength: ____________ nm","100-380
390-790
780-10^6"
"The _________ LASER is used for lesions DISTAL to the larynx, whereas the ___________ is used for structures of the larynx and vocal cords.",Nd:YAG; CO2
The ____________ LASER is more precise but achieves poor hemostasis.,CO2
"The _________ LASER is absorbed by water, whereas the _______ is absorbed by Hemoglobin.",Nd:YAG; CO2
True or false: Bleeding from laser tissue/vessel perforation may not occur for a few days?,TRUE
List signs of Venous Gas Embolism.,"Arterial Hypoxemia, Hypercapnia, Decreased ETCO2, Arrythmias, MI, Elevated CVP and PAP"
Management of Venous Gas Embolism,"1. Stop Procedure
2. Flood the cavity with irrigation
3. Typically want heart above level of surgical site (Smaller Bubbles)
4. CVC can allow aspiration of gas from right heart
5. Turn patient to Left Lateral Position
6. Increase FiO2
7. Volume expansion and inotropes for hypotension
-Occasionally hyperbaric oxygen therapy needed"
Any surgery in which the site is __________ the level of the heart is a risk factor for the development of __________ .,Above; VAE
Name the three factors that make up the Fire Triangle,Fuel + Oxygen + Ignition Source
"Name the 3 criteria for the Fire Risk Assessment
What score = high risk?","1. Surgical site is above the xiphoid process
2. Open oxygen source (i.e. face mask or NC)
3. Available ignition source (i.e. Electrocautery, Laser, Defibrillator, Burr, FOB)
3 = high"
"What technique utilizes Bernoulli's principal by using intermittent, high-pressure oxygen, directed at the glottis through a small metal tube?",Jet Ventilation
Universal post-op considerations for ENT procedures includes (3),"Head-up position to decrease edema
Administration of humidified oxygen
Steroids and racemic epinephrine"
