"prompt","answer"
"What are the consequences of electrical injury? (3)","1. Arrhythmia
2. Nerve Injury
3. Thermal Injury"
"Name that Macro-Shock Threshold (mA): Threshold for touch perception of electrical shock","1"
"Name that Macro-Shock Threshold (mA): Maximum current for harmless electrical shock","5"
"Name that Macro-Shock Threshold (mA): 'Let Go' current occurs before sustained contraction","10-20"
"Name that Macro-Shock Threshold (mA): Loss of Consciousness","50"
"Name that Macro-Shock Threshold (mA): Ventricular Fibrillation","100"
"Name that Micro-Shock Threshold (mcA): Maximum allowable current leak in the OR","10"
"Name that Micro-Shock Threshold (mcA): Ventricular Fibrillation","100"
"The line ______ monitor (LIM) assesses the integrity of the underground power system in the OR.","Isolation"
"T/F: the primary purpose of the line isolation monitor (LIM) is to alert OR staff of first fault","True"
"T/F: The line isolation monitor (LIM) protects you and the patient from micro- and macro-shock","False"
"If the line isolation monitor (LIM) alarms, the last piece of equipment that was plugged in should be _________ .","Disconnected"
"The line isolation monitor (LIM) will alarm when ______ mA of leak current is detected.","2-5"
"T/F: If the sum of all current exceeds 2-5mA, the LIM alarm will sound, however there is no risk of electric shock in this situation and no corrective action is required","True"
"T/F: The OR power supply is NOT grounded.","True"
"T/F: The OR power equipment is NOT grounded","False"
"Surgical electrocautery delivers a high frequency current of ___________ Hz used to cut, coagulate and dissect tissue.","500,000-1,000,000"
"T/F: The high frequency electrocautery tools have a low tissue penetration and do NOT affect excitable cells, thus ventricular fibrillation is NOT a risk","True"
"A fault in the return electrode with electrocautery places the patient at risk for _______ .","Burns"
"In the case of a faulty return electrode, the smaller the area that the electricity exits the body, the ________ the intensity of the burn.","Greater"
"T/F: To prevent burns at the return pad site the entire surface of the return electrode should be in direct contact with the patient's skin.","True"
"T/F: To prevent burns at the return pad site the entire surface of the return electrode should be placed over bony prominences or metal implants.","False"
"The tip of the _______ electrosurgical device contains the active electrodes as well as the return electrodes.","Bipolar"
"T/F: Bipolar electrocautery does NOT require a return pad.","True"
