"prompt","answer"
"________ ions and TFA (Triuroacetic Acid) are produced during biotransformation inside the body, while compound A and _______ are produces following exposure to soda lime outside the body.","Fluoride; CO"
"T/F: Desflurane and Isoflurane are metabolized to inorganic fluoride ions and TFA","True"
"Up to ______ % of halothane undergoes hepatic biotransformation.","20"
"A high concentration of _________ in the liver is the mechanism for halothane hepatitis.","TFA"
"T/F: Sevoflurane is not metabolized to TFA, but its biotransformation does result in the liberation fo inorganic fluoride ions.","True"
"T/F: Because Sevoflurane has a relatively higher degree of metabolism, there are theoretical concerns of fluoride induced high output renal failure.","True"
"High output renal failure from Sevoflurane is characteristically unresponsive to ________ .","Vasopressin"
"Polyuria, hypernatremia, hyperosmolarity, increased plasma CRT, and inability to concentrate the urine are signs of _______ _______ renal failure.","High Output"
"T/F: For all intents and purposes, nitrous oxide is not metabolized by the body.","True"
"The higher the concentration of IHA delivered to the alveolus, the _______ its onset of action.","Faster"
"When the patient is breathing room air, _____ is the primary gas in the alveolus.","Nitrogen"
"Nitrous oxide is _______ x more soluble in the blood than nitrogen.","34"
"T/F: Even though nitrous oxide is less soluble in the blood, the sheer volume of nitrous oxide movement more than compensates for the small difference in blood solubility.","True"
"Nitrous oxide is faster than Desflurane despite higher blood:gas solubility due to the ________ effect.","Concentrating"
"The ________ effect temporarily reduces alveolar volume.","Concentrating"
"The ______ _______ _______ effect explains that the concentration effect causes an increased inflow of tracheal gas to replace the lost alveolar volume. This increases alveolar ventilation and augments FA.","Augmented Gas Inflow"
"The _________ effect describes how changes in alveolar ventilation can affect the rise of Fa/Fi","ventilation"
"The greater the _________ ventilation, the greater the rate of rise of Fa/Fi","Alveolar"
"T/F: In the spontaneously ventilating patient, as the anesthetic is deepened, alveolar ventilation decreases and this decreases anesthetic input to the alveolus","True; Protective to minimize risk of anesthetic overdose"
"The _____ ______ effect describes how the use of nitrous oxide during anesthetic induction will hasten the onset of a second gas.","Second Gas"
"The gas containing areas of the body can absorb up to ______L of nitrous oxide within 2 hours. Most will be eliminated from the body within _______ minutes after nitrous oxide is discontinued.","30; 5"
"As nitrous oxide is transferred into the alveoli, it dilutes the alveolar oxygen and carbon dioxide which may cause a temporary _______ _________ and hypocarbia.","Diffusion Hypoxia"
"A right-to-left shunt will produce a ________ IA induction.","Slower"
"A right-to-left shunt will produce a ________ IV induction.","Faster"
"A left-to-right shunt will produce a _________ IV induction.","Slower"
"T/F: a left-to-right shunt will produce a faster IHA induction.","False; NO meaningful effect on IA uptake or induction time"
"a ______ to _______ cardiac shunt causes some of the deoxygenated blood leaving the right heart to bypass the lungs","R-L"
"ToF, foramen ovale, eisenmenger's syndrome, Tricuspid atresia and ebsteins anomaly are examples of ______ to _______ cardiac shunt .","R-L"
"In the presence of a right-to-left shunt, the Fa/Fi of an agent with _______ solubility will be more affected than an agent with ______ solubility.","Lower; Higher"
"_______ has the lowest blood:gas partition coefficient.","Desflurane"
"_______ has the highest blood:gas partition coefficient.","Isoflurane"
