prompt,answer
What is the #1 treatment of someone with angina or any degree of CAD? How does this agent work to stop angina?,"Beta blocker 
It is a vasoconstrictor, but it decrease the demand of the heart well enough (via HR and contractility) that the vasoconstriction doesn't increase ischemic risk"
What is the first line of therapy for acute angina? How do they work,"Nitrates (NTG)
Decreases preload by causing blood to pool in the legs"
What class is used for chronic prophylaxis of angina?,Beta blockers
"What is the treatment for variant angina, and how does it work?","CCBs - variant angina is spasmodic - so the vasoconstricting properties of beta blockers aren't effective 
CCBs work by reducing preload and afterload"
How do are antiplatelets used for angina?,"They inhibit platelet aggregation and endothelial cyclooxgenase, reducing risk of coronary thrombosis"
How do statins work for angina?,"They are used to lower cholesterol by reducing CRP, thrombogenicity, and reduction of adverse cardiac events"
Diabetics with angina may be put on what type of medication? How does it work?,"ACE inhibitors
Prevent conversion of angiotensin I to angiotensin II, therefore blocking vasoconstriction"
What is Ranolazine used for and how does it work?,"refractory angina
Blocks late inward Na current, reducing intracellular calcium overload"
Class 1 Angina,"Does NOT occur with ordinary physical activity, but may occur with strenuous, rapid, or prolonged exertion"
Class II Angina,"slight limitation of ordinary activity
May occur after walking or climbing stairs, after meals, in the cold, under stress, etc"
Class III Angina,"marked limitations of ordinary physical activity
May occur after walking one or two blocks at a normal pace"
Class IV Angina,"Inability to carry on any physical activity without discomfort, may be present at rest"
How does the ischemic cascade of angina occur?,"Effort leads to ischemia
Ischemia leads to diastolic dysfunction
Diastolic leads to systolic dysfunction
Systolic dysfunction causes ECG signs (late)
ECG changes lead to dyspnea"
How does the recovery cascade from angina occur?,"Symptoms occur so effort is stopped
Pain relief occurs
ECG returns to normal
Systolic function returns
Stunning occurs
Full recovery"
"So, under anesthesia, our tell tale sign of angina is what? How quickly should you intervene to achieve full recovery","EKG signs (which are late)
15 minutes"
"At 40 minutes, you're lost ______ of your cardiac tissue",50%
Why does cardiac stunning occur?,As a protective mechanism of the heart via desensitization
Which beta blocker has nitric oxide activity?,Nibinolol?
"What is the pathophysiology of stable/exertional asthma, and what would this look like on ECG?","Its a fixed lesion that causes pain with activity and sometimes at night
NSTEMI (ST depression) on EKG"
What is the pathophysiology of unstable angina?,It is and occlusion combined with spasm causing fixed exertional and rest pain
What is the pathophysiology of variant angina? What does it look like on EKG?,"Spasm causing angina with or without exertion, sometimes in the morning
STEMI (ST elevation)"
"Nitrates work by dilating _______, therefore reducing __________ more than _________?","veins in the legs, preload more than afterload"
How do CCBs work for angina?,"They decrease the demand of the heard via cardiac depression, as well is decreasing supply via vasodilation"
Patients with RCRI risk > ___ should be put on beta blockers prior to surgery?,3
How do HMG-CoA Reductase Inhibitors work? What are some possible side effects?,"reduce endovascular inflammation and plaque build up 
May cause increased liver enzymes and CK with myalgia and weakness"
What dietary medications/supplements influence coagulation?,"Vitamin K and E, Coenzyme Q10, Zinc, Omega-3 FA"
How long should elective surgery be postponed for bare metal versus drug-eluting stent placement?,"Bare-metal: 4-6 weeks
Drug-eluting: 12 months"
"If thienopyridine therapy (Plavix) must be continued before surgery, then what should be continued?",Aspirin
What are the indications for holding aspirin before surgery?,"Eye surgery (closed-system)
Intracranial operation
Postrate surgery (excessive EBL)"
Class I CHF,No functional limitation
Class II CHF,"Slight limitation of physical activity, ordinary activity causes fatigue, palpitations, dyspnea"
Class III CHF,"Marked limitation of physical activity
Comfortable at rest, but less than ordinary activity causes symptoms"
Class IV CHF,"Unable to carry out any physical activity without discomfort
Symptoms present at rest"
"What conditions are considered stage A, or high risk for developing CHF?","HTN, CAD, DM, Family Hx"
"What conditions are considered stage B, or pre-CHF?","Previous MI, LV systolic dysfunction, asymptomatic valve disease"
What are the recommended medications for CHF?,"Ace inhibitors (if EF <40%)
Beta blockers 
ARB if patient can't tolerate ACE
Diuretic if fluid overloaded 
Hydralazine and isosorbide reduce mortality
Digoxin reduces symptoms but not mortality"
Do drugs help CHF patients with preserved EF?,No
5 ways to stimulate the heart per nagelhout (with drug examples),"1. Beta 1 agonist (Dopamine/Dobutamine)
2. Na/K/ATPase Inhibition (Digitalis)
3. Increase Calcium (calcium chloride)
4. PDE-III inhibition (Milrinone)
5. Glucagon (hormonal)"
What are the two biggest anesthetic goals of patients in heart failure?,Minimize myocardial depression and peripheral vasodilation
What is restrictive cardiomyopathy? What are the anesthetic implications?,"Stiff ventricles that impair filling (RIGHT)
Spontaneous ventilation, and adequate pre-load
*Most difficult to treat*"
What is dilated cardiomyopathy? What are some anesthetic implications?,"Large heart with poor contractility, SV is maintained. by dilation and increased LVEDV (valve issues)
These patients often have arrhythmias and require inotropic support"
What is hypertrophic cardiomyopathy? what are some anesthetic implications?,"Outflow tract obstruction due to septal hypertrophy, impaired diastolic function so filling relies on atrial systole 
Keep patients in NSR and prevent tachycardia!
Inotropes could worsen, best bet are vasodilators that do not cause tachycardia"
What two conditions are the current indications for digitalis?,CHF or Afib
The half life of digoxin is _____,36 hours
"Normal digoxin level
>_____ is always toxic","2
>3 toxic"
How does digoxin work?,"Inhibits Na/K-ATPase
Na increases inside the cell due to blocked pump
Decrease in exchange of Na/CA
Increased Ca, increases contraction"
What is the most common symptom of dig toxicity,Arrhythmias
What electrolyte imbalance potentiates dig toxicity,Hypokalemia
Should digoxin be held before surgery,"No, unless there is a particular contraindication to continuing it"
What are the hallmark visual symptoms of dig toxicity?,"Colored vision (purple)
Halo vision"
What medication can be given for dig toxicity and how does it work?,Digibond; it is a dig antibody
"For how long is clopidogrel mandatory after placement of bare-metal stent, MI, and DES?","Bare-metal: 6 weeks
MI: 3-6 months
DES: 12 months"
Which LA is most cardiotoxic?,Bupivacaine
How does adding bicarb affect neuraxial anesthesia?,Speeds the onset but with increased risk of hypotension
How does adding an opioid affect neuraxial anethesia?,"Increased block density, lower dose of LA required"
Which type of drugs have more spinal bioavailability - hydrophilic or hydrophobic?,Hydrophobic
Most common side effects of neuraxial opioids,"Pruritis, nausea and vomiting"
Effect of pregnancy on LA,Greater spread and depth due to progesterone levels
How does mixture of local anesthetics work?,"Used to combat short DOA of lidocaine and chloroprocaine
Give fast acting LA first, followed by one with long duration.
Give 1/2 normal doses
Re-dose q90 minutes"
Tumescent anesthesia,Subcutaneous injection of large volumes of dilute local anesthetic in combination with epinephrine or other agents (often used in liposuction)
Lidocaine dose for tumescent anesthesia,35-55mg/kg
Max dose of Lidocaine with Epi for tumescent anesthesia,28mg/kg
Tumescent mixture contents,"500mg Lidocaine
1mg Epinephrine
12 mEq sodium bicarb
1L NS"
How long before stimulus should you put on EMLA cream? What are the two most commonly used substances in emla?,"45-60 minutes
Lidocaine or Procaine (2.5%)"
How does hyaluronidase work?,"Breaks down hyaluronic acid, increasing spread of LA (therefore decreasing duration)"
Maximum dose of cocaine,200mg
Synthesis of ACh,"Acetyl CoA + Chloline -->
choline acetyl transferase --> 
ACh"
Metabolism of Ach,"ACh > Cholinesterase > Choline + Acetic Acid
*Choline gets recycled"
What are the two enzymes that metabolize catecholamines?,MAO and COMT
Stimulation of an alpha 2 PRE-synaptic receptor will have what effect on the SNS?,Sympatholytic - stimulates negative feedback of norepinephrine release
Some NE diffuses out of the synapse and is metabolized by _______ enzyme?,COMT
2 steps of NE reuptake,"1. Enters the cytoplasm - near MAO
2. Transported from cytoplasm back into vessicle - a process that takes energy"
Sympatholytic or Sympathomimetic: Interference with transmitter synthesis,"SYMPATHOLYTIC
If you block tyrosine hydroxylase, then it can't act on tyrosine to form dopamine - decreased catecholamines
*a-methyl-tyrosine"
Sympatholytic or Sympathomimetic: Metabolic transformation by the same pathway as precursor of transmitter,"SYMPATHOLYTIC
Gives the body a false thing to synthesize - thinks its making catecholamines 
*a-methyl-dopa"
Sympatholytic or Sympathomimetic: Blockade of transport system at nerve terminal membrane,"SYMPATHOMIMETIC
Blocking the re-uptake of NE at the synapse, so more stays there
*Cocaine and Imipramine 
*Hemicholinium -cholinergic"
Sympatholytic or Sympathomimetic: Blockade of transport system at the versicle,"SYMPATHOLYTIC
Catecholamine can't be stored in vessicle, so it ends up being metabolized
*Vesamicol -cholinergic
*Reserpine - adrenergic"
Sympatholytic or Sympathomimetic: Promotion of exocytosis or displacement of transmitter from axon terminal,"SYMPATHOMIMETIC
INDIRECT stimulation of catecholamine release 
*Latrotoxins -cholinergic 
*Amphetamines, Ephedrine, Tryamine - adrenergic"
Sympatholytic or Sympathomimetic: prevention of release of transmitter,"SYMPATHOLYTIC
Pre-synaptic alpha 2 stimulation
*Botulin toxin - cholinergic
*Clonidine and Dex - adrenergic"
Sympatholytic or Sympathomimetic: Mimicry of transmitter at post-junctal sites,"SYMPATHOMIMETIC 
Direct agonists!"
"Methacholine
Bethanachol",Cholinergic (nicotinic) direct agonists
"Drug Class: Nicotine, Epibatidine",Cholinergic agonists
Drug Class: Phenylephrine,Selective alpha 1 agonist
Drug Class: Oxymetazoline,Alpha 1 and 2 (non-selective)
Drug Class: Dobutamine,Beta 1 agonist
Drug Class: Terbutaline & Albuterol,Beta 2 agonist
Drug Class: Isoproterenol,"Beta 1 and 2 agonist
Selective inhibition of smooth muscle contraction"
Sympatholytic or Sympathomimetic: blockade of post-synaptic receptor,"SYMPATHOLYTIC
Classic antagonist"
Drug Class: Atropine,Cholinergic muscarinic antagonist
Drug Class: D-turbocurarine (curare) & Atracurium,Cholinergic NM antagonist - neuromuscular blockade
Drug Class: Trimethaphan,Cholinergic NN antagonist -ganglionic blockade
"Drug Class: Prazosin, Terazosin & Doxazosin",Alpha 1 antagonist
Drug Class: Yohimbine,alpha 2 antagonist
Drug Class: Phenoxybenzamine & Phentolaime,Alpha 1 and 2 antagonist
Drug Class: Metoprolol & Atenolol,Beta 1 > B2 antagonist
Drug Class: Propranolol,Beta 1 and 2 antagonist (non-selective)
PNS and SNS Mechanism of Action: inhibition of enzymatic breakdown of transmitter,"PARASYMPATHOMIMETIC AND SYMPATHOMIMETIC 
Drug is messing with the enzyme responsible for the breakdown of either ACh or catecholamines"
"AChE Inhibitors (Neostigmine, Edrophonium) work on what receptors",Cholinergic muscarinic receptors - let ACh buildup in the synapse
Drug Class: Paragyline & Nialamide,"MAO-I 
Non-selective adrenergic
Potentiates tyramine"
Drug Class: Selegeline,"MAO(B)-I, selective
Adjunct to Parkinson's"
Drug Class: Entacapone,"Peripheral COMT inhibitor
Adjunct to parkinsons"
Drug Class: Tolcapone,"peripheral and central COMT inhibitor
Adjunct to Parkinson's"
"Sympatholytic or Sympathomimetic: Interference with second messenger system
*Example drug","SYMPATHOMIMETIC
If you inhibit PDE, then C-AMP can't be broken down, increasing the function of the second messenger
*milrinone"
Dose milrinone work indirectly or directly?,Indirectly. This is why the body does not build tolerance to it when compared to other vasopressor drips
"Milrinone enters cell and attaches to _______, to prolong the life of C-AMP. This increase in the second messenger eventually results in an increase in the third messenger __________, producing a stronger ____________.","Phosphodiesterase enzyme
Calcium release
Inotropic contraction"
Milrinone Dose,"Bolus: 37 .5-75 mcg/kg
Maintenance: .375-.75mcg/min"
How does milrinone affect SVR?,Decreases it
"cAMP works on ______ nerves
cGMP works on ______ nerves","cAMP: adrenergic
cGMP: cholinergic"
Adenylyl cyclase,Converts ATP to cyclic AMP in response to an extracellular signal.
Which phosphdiesterase enzymes break down cAMP?,"3,4,7"
Which phosphodiesterase enzymes break down cGMP?,"1,5,6"
Tardive Dyskinesia,"involuntary movements of the facial muscles, tongue, and limbs; a possible neurotoxic side effect of long-term use of antipsychotic drugs that target certain dopamine receptors"
How does valbenazine work?,"Inhibits VMAT2 - or vesicular MAO, reducing MAO levels which causes increased catecholamine"
How do Tyrosine Hydroxylase inhibitors work? What condition might warrant treatment with this drug?,"inhibit the enzyme that converts tyrosine to catecholamines 
Pheochromocytoma"
How do COMT Inhibitors work? What is an example of this kind of drug? What condition might warrant treatment with this drug?,"Tolapone
Inhibits breakdown of catecholamines 
Parkinson's"
What kind of receptors are affected by the vagus nerve?,Muscarinic
Eye: Alpha receptor action,"Alpha agonist: mydriasis 
Alpha antagonist: miosis"
Eye: Beta receptor action,"Beta agonist: none
Beta antagonist: decreased IOP"
Effect of cholinergics on the eye,"Parasympathomimetic
Miosis 
Decreased IOP"
Effect of anti-cholinergics on the eye,"Parasympatholytic
Mydriasis
Cyloplegia
Increased IOP"
Heart: Alpha receptor action,"Alpha agonist: reflex bradycardia
Alpha antagonist: reflex tachycardia"
Vessels: alpha receptor action,"Alpha agonist: constriction
Alpha antagonist: dilation"
Vessels: beta receptor action,"Beta agonist: dilation
Beta blocker: constriction"
What is the effect of cholinergic drugs on the lungs? Anti-cholinergics?,"Cholinergics: constriction
Anticholinergics: dilation (slight)"
GI: alpha receptor aciton,Alpha agonist: decreased motility and secretions
How do cholinergic drugs impact the GI system?,Increased motility and secretions
How do alpha receptors affect the uterus?,Alpha agonist causes contraction
What receptors cause tocolysis?,Relaxation of the uterus - beta agonists
Liver: beta receptor effect,"Agoinst: increased glucose
Antagonist: hypoglycemia"
"Phenylephrine (alpha agonist) will only produce ______ in the eye, whereas Atropine (anticholinergic) will produce ______ and ______ in the eye","Phenylephrine: mydriasis
Atropine: mydriasis and cylcoplegia"
Mydriasis (dilation) from alpha 1 stimulation in the eye is from the action of which muscle?,Radial (Iris)
Miosis (constriction) from alpha 1 blockade in the eye is from the action of which muscle?,Sphincter (Iris)
Which muscle in the eye is responsible for accomodation? How does it adapt for near and far vision?,"Ciliary
Near: contraction, lens is rounded
Far: relaxation, lens is elliptical"
"All _____ receptors function in the heart, with the exception of some that reside in the _______ to produce ________.","Beta 1, Kidney, Renin"
Drugs that are dromotropic affect what?,Conduction velocity
How does Beta 1 stimulation affect the heart?,"Increased HR, contractility, conduction, and automaticity"
Dose & Drug Class : Phenylephrine (Neo-Synephrine),"Pure alpha agonist
Dose: 20-200mcg/min, 40-80mcg push"
Dose & Drug Class: Norepinephrine,"Alpha > beta
1-20mcg/min"
How will NE impact your BP and HR?,"Will increase SBP>DBP
Slight HR increase"
Dose & Drug Class: Epinephrine,"Beta>alpha
Dose: 1-20mcg/min"
How will epinephrine impact HR and BP?,"Will increase HR > BP
Will increase SBP, not DBP"
How will low dose Epi impact SVR?,Slight decrease
Dose & Drug Class: Dobutamine,"Pure beta agonist
Dose: 1-20mcg/min"
How will dobutamine impact your HR and BP?,"It will increase HR
Will decrease BP d/t no alpha stimulation"
"Dopamine (receptors at low, med, and high doses)","Low: Dopamine
Med: + beta
High: + alpha"
How will dopamine impact your BP?,"Low-medium doses will slightly increase BP
High doses will increase BP with alpha effect"
Dose & Drug Class: Vasopressin,"V1 and V2 receptors 
Dose: .04-.1unit/min"
What hemodynamic measurement will be increased by the addition of vasopressin?,SVR
How does stimulation of the SNS impact adipocytes and by what receptors?,increased lipolysis via alpha and beta receptors
What is considered a 'renal dose' of dopamine and what does this mean?,"Low dose = 2-5mcg/kg/min
This dose only impacts dopamine receptors, which cause renal artery dilation and therefore increased blood flow. Does NOT improve GFR"
What receptor is PREDOMINANTLY effected by high dose Dopamine?,alpha 1
How does the parasympathetic nervous system impact blood vessels?,It doesn't
Stimulation of alpha 1 and alpha 2 receptors does what to blood vessels?,Vasoconstriction
Stimulation of beta 2 receptors does what to blood vessels?,Vasodilation
Alpha 2 receptors impact blood vessels at what two locations?,"Skin, salivary glands"
V1 receptors impact blood vessels at what locations?,"Skin, kidneys"
V2 receptors impact blood vessels at what locations?,Coronaries and abdominal viscera
What does stimulation of alpha.1 receptors do in the cerebral vasculature?,Causes SLIGHT constriction
How are salivary glands impacted by sympathetic and parasympathetic stimulation?,"SNS: reduced secretions
PNS: increased secretions"
Alpha 1 and 2 receptors have what effect on renal vasculature?,heavy vasoconstriction
"B1 and 2, as well as V1 receptors have what effect on renal vasculature?",dilation
How does ephedrine work?,"Peripherally and centrally - crosses bbb
Directly and indirectly: acts on receptor, and also stimulates exocytosis of transmitter from exon terminal (stimulates catecholamine release)
Alpha and Beta receptors"
"If a patient is on an MAO Inhibitor, what OR pressor is the better choice and why?","Phenylephrine will have a more predictable response because it acts directly, whereas ephedrine acts both directly and indirectly - the indirect action is less predictable as MAO is inhibited and you are unable to breakdown the catecholamines that will be produced with ephedrine administration"
Why would ephedrine be less effective in a patient undergoing a prolonged stress response?,"If the patient is depleted of catecholamines, ephedrine will lose its indirect effect"
What is the treatment for acute relief of asthma exacerbation?,"SABA (short-acting-beta-agonist)
Albuterol/Solumedrol"
How does beta 2 stimulation impact patients with asthma?,Bronchodilation and relaxation
What is the treatment for persistent chronic asthma to reduce the risk of excerbation?,Inhaled corticosteroids
"If an asthmatic patient is on an ICS and also taking a SABA but is still experiencing symptoms, what should they be treated with?","LABA (long acting beta agonist)
*avoid unless severe*"
"If ICS dose has been increased with no result, what is the last treatment you can try for asthma?",LAMA (long acting muscarinic antagonist)
Top 3 things that cause an allergic reaction: Most to Least,"1. NMBA
2. Latex
3. Antibiotics"
"If a patient has a spasm before placing the tube, what is it likely caused by?",Allergic reaction
Smoking cessation for asthmatic patients should be encouraged for at least how long?,8 weeks
Pre-treatment for asthma,Steroid
Induction agent of choice for active wheezing,Ketamine
Intraoperative Bronchospasm treatment,"Deepen anesthetic 
100% FiO2
B2 Agonist (albuterol)
IV Epi (severe)
IV Corticosteroid
Aminophylline if long term mech. ventilation"
What medications are contraindicated in asthma? Why?,"H2 blockers (-tidine)
Phenanthrene opioids: morphine, dilaudid, demerol
Histamine-releasing NMBs: succinylcholine, atracurium
Non-cardioselective beta blockers"
GI motility and tone are controlled via what receptors,"A1-2
B1-2
V1"
GI Sphincters are controlled by what receptors?,A1
GI secretions are controlled by what receptors?,A2
Gallbladder is controlled by what receptors?,B2
Liver is controlled by what receptors,"a1, B2"
Lipolysis is controlled predominantly by what receptor?,B3
Islet cells are controlled by what receptors,B2
What receptor causes decreased insulin secretion,a2
What receptors cause renin secretion,B1
Which receptors cause water reabsorption in the kidneys,V2
Which receptor causes contraction of the bladder,a1
Which receptor causes relaxation of the bladder,B2
Which receptor causes contraction of the uterus,a1
Which receptor causes relaxation of the uterus (tocolysis),b2
Which anticholinergic causes the most sedation?,Scopolamine
Which anticholinergic is the best antisialogogue?,Glycopyrrolate
Which anticholinergic increases HR the most?,Atropine
Which anticholinergic does NOT cross the BBB?,Glycopyrrolate
What kind of nausea is scopolamine best for?,motion induced
Which anticholinergic is best to use in a pregnant mom?,Glycopyrrolate
M1 receptor: location and effects,"CNS, Stomach
Increased cognition, gastric acid production"
M2 receptor: location and effects,"CNS, Heart
Bradycardia, Smooth muscle contraction"
M3 receptor: location and effects,"CNS, glands
Salivary secretion
Bladder contraction"
M4 receptor: location and effects,"CNS, Heart
Promotes dopamine release"
M5 receptor: location and effects,"CNS
Dopamine release, cerebral dilation"
Effects of Atropine at 0.5mg,"Slight cardiac slowing (via brain)
Anhidrosis"
Effects of Atropine at 1mg,"Dry mouth, thirst
acceleration of heart
mild pupil dilation"
Effects of Atropine at 2mg,"Dry as a bone, blind as a bat!
Vagus nerve completely blocked
Rapid HR
Marked dry mouth
Mydriasis, cycloplegia"
Effects of Atropine at 5mg,"Red as a beat, hot as a hare!
Dry, hot skin
Headache, restlessness, fatigue
Difficulty speaking and swallowing"
